ID_2	Xt	Yt	CENc_pH	CENc_Mn	CENc_ARENA	CENc_%Al	CENc_POT_pH	CENc_POT_ARENA	CENc_POT_%Al	CENc_Xt	CENc_Yt	Zones(4)	LN_KdGlifo
42	532245.028976336	6442189.31181563	0.116404494382026	-33.4314606741574	-27.7449438202247	0.0123731635280899	1.16888089887641	-1958.97921348315	0.00177976387508202	92323.5388270493	16647.6361856172	III	4.16169163568171
43	541745.018450335	6421084.39611261	-0.483595505617973	-64.6314606741574	-11.8449438202247	0.0163731635280898	-6.63111910112359	-1359.54921348315	0.00284536387508202	101823.528301048	-4457.27951740287	III	3.55019193434004
44	539590.417701349	6394001.66884815	-0.083595505617974	-7.53146067415739	-2.64494382022471	0.00117316352808985	-1.51111910112359	-781.789213483145	-0.00103367612491798	99668.9275520623	-31540.0067818621	III	3.39013643430273
47	545162.869978883	6334934.06135424	0.116404494382026	-4.93146067415739	-11.0449438202247	0.0303731635280899	1.16888089887641	-1316.02921348315	0.00682696387508203	105241.379829596	-90607.6142757721	III	3.74313086894585
49	541060.123098213	6295327.97661124	-0.793595505617974	-74.9314606741574	-1.44494382022471	0.0467731635280899	-10.3790191011236	-693.949213483146	0.011989683875082	101138.632948926	-130213.699018773	III	4.05932169244903
50	534776.973002034	6267747.43549483	-0.943595505617973	-55.8314606741574	25.3550561797753	0.0311731635280899	-12.1235191011236	2018.21078651685	0.00706632387508202	94855.4828527473	-157794.240135183	IV	3.48170152132112
70	515660.941148831	6259661.02648166	0.0164044943820265	37.0685393258426	29.3550561797753	0.0315731635280899	-0.181119101123592	2546.21078651685	0.00718648387508202	75739.4509995442	-165880.649148352	IV	3.17534182284447
72	519430.203512599	6208789.73625321	-0.283595505617973	122.468539325843	9.35505617977529	0.0335731635280899	-4.11111910112359	226.210786516855	0.00779208387508203	79508.7133633122	-216751.939376802	IV	4.05491049297669
76	497504.291400115	6595467.8620063	-0.483595505617973	43.0685393258426	-20.8449438202247	0.0247731635280899	-6.63111910112359	-1760.94921348315	0.00518728387508203	57582.8012508283	169926.186376288	III	5.30444853247828
77	498859.462036911	6582924.34767802	-0.683595505617974	32.5685393258426	-21.3449438202247	0.0979731635280899	-9.07111910112359	-1778.49921348315	0.031568563875082	58937.9718876242	157382.672048007	III	4.79541857559803
81	504966.357178484	6496753.9875714	0.316404494382026	17.5685393258426	-23.4449438202247	0.0443731635280899	3.92888089887641	-1846.74921348315	0.011200563875082	65044.8670291972	71212.3119413871	III	4.15950788812851
83	503024.699905546	6459416.4382993	0.316404494382026	39.4685393258426	-26.8449438202247	0.0179731635280899	3.92888089887641	-1938.54921348315	0.00328056387508202	63103.2097562592	33874.7626692876	III	3.64270461699332
85	501033.992308782	6417871.61936574	1.91640449438203	14.8685393258426	-14.5449438202247	-0.00642683647191014	28.8888808988764	-1496.97921348315	-0.00279991612491797	61112.5021594953	-7670.05626427289	III	0.896088024556636
87	500936.888597726	6377536.03630399	0.316404494382026	-53.1314606741574	-15.8449438202247	0.0279731635280899	3.92888089887641	-1557.94921348315	0.00611656387508202	61015.3984484393	-48005.6393260229	III	3.16188210334808
89	500780.991106885	6333918.03234406	-1.08359550561797	-51.5314606741574	-1.84494382022471	0.0315731635280899	-13.7111191011236	-723.549213483145	0.00718648387508202	60859.5009575983	-91623.6432859525	III	3.51957283439748
91	499572.024011683	6292383.83901724	-0.573595505617973	3.76853932584262	24.1550561797753	-0.0216268364719101	-7.7390191011236	1866.05078651685	-0.00598583612491797	59650.5338623963	-133157.836612772	IV	3.43865371870611
96	501313.997555257	6200115.08550862	0.616404494382026	81.1685393258426	12.8550561797753	-0.0352268364719101	8.21888089887641	574.460786516855	-0.00844471612491798	61392.5074059702	-225426.590121392	IV	2.41054223449914
99	467093.762805006	6665903.51751268	0.516404494382027	51.3685393258426	-6.64494382022471	-0.00122683647191014	6.76888089887641	-1053.78921348315	-0.00160391612491798	27172.2726557193	240361.841882668	III	2.71964933694556
125	454257.609646658	6632301.92533152	0.416404494382026	35.1685393258426	13.7550561797753	-0.0308268364719101	5.3388808988764	667.970786516855	-0.00768967612491798	14336.1194973713	206760.249701507	IV	2.97782285301042
128	459951.174863644	6581355.84854588	0.816404494382026	166.968539325843	-6.74494382022471	-0.00442683647191014	11.1788808988764	-1060.17921348315	-0.00234631612491798	20029.6847143573	155814.172915868	III	3.69486152579148
129	462475.688793983	6557023.01155482	0.516404494382027	45.7685393258426	2.75505617977529	-0.0220268364719101	6.76888089887641	-363.829213483145	-0.00606343612491798	22554.1986446963	131481.335924808	III	3.80075619299956
132	462239.484013536	6500270.69870269	0.816404494382026	54.1685393258426	-21.2449438202247	0.0447731635280899	11.1788808988764	-1775.02921348315	0.011331283875082	22317.9938642493	74729.0230726777	III	3.43188822898295
